model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
224_yosyshq_appnote_123_cv32e40x-p062.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162129.0,155667.0,451689.0,664228.0,10,inf
225_yosyshq_appnote_123_cv32e40x-p071.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162070.0,155632.0,451613.0,740196.0,12,inf
226_yosyshq_appnote_123_cv32e40x-p092.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162652.0,155755.0,453393.0,719936.0,10,inf
227_yosyshq_appnote_123_cv32e40x-p093.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,160424.0,155138.0,446619.0,789544.0,16,inf
228_yosyshq_appnote_123_cv32e40x-p097.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159128.0,154724.0,442843.0,903284.0,12,inf
229_yosyshq_appnote_123_cv32e40x-p101.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,162555.0,155709.0,453154.0,793348.0,17,inf
22_vis_arrays_vsa16a_p6.aig.out.txt,0.29,SAT,4463.0,1434.0,13040.0,25140.0,5,-inf
230_yosyshq_appnote_123_cv32e40x-p104.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,163547.0,155974.0,455573.0,923752.0,18,inf
231_yosyshq_appnote_123_cv32e40x-p105.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,163847.0,156065.0,456402.0,675128.0,12,inf
232_yosyshq_appnote_123_cv32e40x-p128.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,91744.0,133602.0,258434.0,805640.0,21,inf
233_yosyshq_appnote_123_cv32e40x-p131.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,96529.0,135129.0,271426.0,902032.0,18,inf
234_yosyshq_appnote_123_cv32e40x-p142.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,95099.0,134675.0,267819.0,866392.0,15,inf
235_yosyshq_appnote_123_cv32e40x-p156.aig.out.txt,1.01,UN_SAT,94097.0,134375.0,264786.0,110248.0,8,270.0
236_yosyshq_appnote_123_cv32e40x-p167.aig.out.txt,0.26,UN_SAT,91743.0,133603.0,258497.0,106488.0,5,4.0
237_yosyshq_appnote_123_cv32e40x-p187.aig.out.txt,2.19,UN_SAT,91732.0,133606.0,258439.0,125012.0,12,40.0
238_yosyshq_appnote_123_cv32e40x-p201.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,179894.0,161311.0,502031.0,889844.0,10,inf
239_yosyshq_appnote_123_cv32e40x-p217.aig.out.txt,0.57,UN_SAT,91755.0,133598.0,258547.0,112916.0,10,74.0
